Date,Close,High,Low,Open,Volume
2022-11-27,849.79805416,880.75633014,824.74956457,850.74850147,20576696782.155735
2022-11-28,875.87405801,929.1269174,806.90928846,846.6388871,26990250070.5994
2022-11-29,925.79946439,986.79966037,829.05091293,874.34055826,33081669392.81107
2022-11-30,991.32123585,1070.8051447,874.53947272,923.00030448,36325858081.010666
2022-12-01,1050.6560035,1115.42691181,909.1172496,993.95371431,37100975302.18378
2022-12-02,1094.70261139,1215.47779716,977.55424342,1053.93894627,37135669822.55662
2022-12-03,1151.39912783,1239.06941818,1031.36642092,1102.00289313,38113457567.65065
2022-12-04,1219.83954715,1300.82802643,1035.81756077,1154.11273128,41901285848.00645
2022-12-05,1276.96654919,1397.30174366,1117.74007906,1222.23542493,42225512044.14334
2022-12-06,1295.66126474,1398.59685622,1164.84086199,1274.46275538,44669355700.997574
2022-12-07,1251.42177642,1401.12050399,1189.30356123,1291.88030481,47485599226.29383
2022-12-08,1194.60307365,1380.21380778,1065.38618096,1247.53486998,48184381993.66103
2022-12-09,1178.64426579,1251.00563484,1078.87834487,1188.78535904,45539421506.48295
2022-12-10,1223.62316024,1353.79614289,1070.63826075,1169.3250102,43880961555.39573
2022-12-11,1254.27869043,1372.80254959,1148.3719144,1210.31334673,43017878717.29863
2022-12-12,1264.639106,1342.91827245,1121.31698427,1233.77480472,42164710474.81249
2022-12-13,1259.43999133,1323.40863719,1163.6759354,1244.45852957,41322573258.53135
2022-12-14,1281.2445256,1332.35065779,1156.78601781,1247.13280114,34794716967.57108
2022-12-15,1302.42382327,1402.27391187,1183.83719799,1264.68609205,34513585354.14191
2022-12-16,1322.98577616,1372.55548268,1201.23055653,1283.56314651,35157211606.40435
2022-12-17,1258.56483203,1383.88180696,1167.80959149,1316.90961375,36915388188.64154
2022-12-18,1224.9517299,1350.42332878,1112.88479646,1251.4258625,37606170856.497345
2022-12-19,1188.57649394,1319.64662833,1123.91156327,1221.11693122,36924320917.3516
2022-12-20,1247.37754367,1309.53929019,1126.62415134,1188.4578521,37225229692.783295
2022-12-21,1264.47735583,1373.96749581,1148.83300307,1250.17663098,38434346895.41968
2022-12-22,1297.9677231,1371.06808899,1189.4034063,1259.86818845,38998546309.162155
2022-12-23,1273.47246546,1375.57075029,1204.94317074,1293.36961232,38763288503.981964
2022-12-24,1296.222862,1343.93573485,1183.00672102,1262.87627651,38250293808.76764
2022-12-25,1316.50973599,1366.18618573,1220.06208863,1299.23215177,40754295587.24342
2022-12-26,1373.42095183,1457.22526207,1222.90589201,1311.45318572,42705779568.589264
2022-12-27,1377.269951,1434.59620313,1297.3008486,1364.42765747,42134640341.11562
2022-12-28,1386.41974158,1461.75663099,1272.26429903,1365.48991849,41206427890.039604
2022-12-29,1436.39995973,1485.62210724,1317.75952514,1370.26352367,41771886209.33003
2022-12-30,1540.24679885,1637.1491789,1349.07081403,1430.64600485,43350014497.68504
