Date,Close,High,Low,Open,Volume
2022-11-27,291.89164915,304.52536143,281.16116165,291.19676658,23926575016.92669
2022-11-28,297.69573461,307.58606823,275.3113985,291.18672401,30046793385.27357
2022-11-29,305.55630606,318.43863057,281.48746322,296.14063457,34785076924.8473
2022-11-30,312.40837226,338.03489799,281.68916095,302.09701565,36758832883.38082
2022-12-01,318.25380799,337.06326451,293.14520825,308.06621738,36486747237.30417
2022-12-02,329.8853905,346.09646592,298.57685763,316.46756603,38430197964.629974
2022-12-03,353.99364396,371.66557561,311.24319697,330.64116522,38400300909.12336
2022-12-04,377.46876768,406.95271997,336.74346296,355.5360155,42659703496.307205
2022-12-05,391.35310748,419.00703,354.76070094,378.62543043,42857976572.47738
2022-12-06,388.27012336,422.25489341,354.77567538,390.34449828,42594773103.598495
2022-12-07,371.3542636,430.58235382,343.2903651,387.30065601,45720420306.09692
2022-12-08,350.15813545,389.79811327,313.82702862,371.45407275,47783017605.82192
2022-12-09,346.84325833,372.3241551,323.80097183,351.24578352,49165195524.50285
2022-12-10,357.56425236,376.58627447,316.85757498,348.48745505,47769886130.7251
2022-12-11,367.03162016,387.49608338,344.15172359,360.3492608,47252377668.535355
2022-12-12,366.42282425,386.0572233,349.08849851,371.67161851,45650012936.419205
2022-12-13,362.07494345,386.89917758,348.45425572,369.37761771,41513863425.62339
2022-12-14,366.59088497,390.58765221,352.13156298,367.81980913,35358183783.74025
2022-12-15,369.64146749,381.34657197,356.77809072,368.36155597,34448814427.232796
2022-12-16,371.88680581,393.36644762,352.28402009,369.97358506,32877125292.927372
2022-12-17,355.55873544,399.19263376,340.73928165,372.39772813,33203913233.51557
2022-12-18,346.84136178,379.00001817,332.28193454,356.60834113,33488473197.720795
2022-12-19,336.775303,372.87258903,321.02549424,347.3887702,33221269483.280895
2022-12-20,342.97082178,364.04481438,316.36736014,336.58957808,33204334920.85954
2022-12-21,341.09480286,358.23787184,327.69299788,345.47294441,33544371682.616013
2022-12-22,340.94470189,353.39158829,333.25091863,342.31225551,33946887017.85528
2022-12-23,333.6304672,349.12408418,325.81582476,340.64096404,32896567911.013866
2022-12-24,335.68490987,350.13313682,318.29905498,335.38193918,32823865684.281673
2022-12-25,341.66736931,365.4037016,316.36078699,338.00426992,35268842776.86774
2022-12-26,361.61192685,385.58356891,323.96767268,344.7469925,37615138724.867836
